Time (s),Gripper Velocity X,Gripper Velocity Y,Gripper Velocity Z,Reference Velocity X,Reference Velocity Y,Reference Velocity Z
118.93381690979004,-0.006872680234128501,-0.014780573658407669,-0.013028707533735858,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
119.03469395637512,-0.006857050314464746,-0.01474247178748691,-0.012962491602956122,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
119.13277101516724,-0.006831767661281442,-0.014680965278759712,-0.012856579987455126,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
119.23351907730103,-0.006800554108720199,-0.014605287016942999,-0.012727696365275175,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
119.33614492416382,-0.006762792508736171,-0.014514123641887443,-0.012574367273241113,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
119.43766403198242,-0.006719526970165164,-0.0144101890558718,-0.012401978449865935,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
119.53661894798279,-0.006673164132600709,-0.014299401808078139,-0.012220927161086203,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
119.64051485061646,-0.006622519773944903,-0.014179042977010713,-0.012027259626261196,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
119.73977184295654,-0.006572482766121272,-0.014060764595468263,-0.011839891081465034,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
119.83983898162842,-0.00652413788609229,-0.01394704964611063,-0.011662417250635835,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
119.94374299049377,-0.006479502872971552,-0.013842519149442904,-0.011501522404433017,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
120.045166015625,-0.006440391922290496,-0.013751258454004047,-0.011362784883756733,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
120.14376497268677,-0.006408244387871112,-0.013676453777646444,-0.011250274846488148,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
120.24589586257935,-0.006383952137413433,-0.013620027584108137,-0.01116616221249365,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
120.34579086303711,-0.0063676947445739825,-0.0135822863967693,-0.011110320852146475,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
120.4449520111084,-0.006358790008600535,-0.013561591931054781,-0.011079915320607129,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
120.54799890518188,-0.0063555637396185685,-0.013554061130522542,-0.011068961339253811,-0.0038153273371411512,-0.008742375205999395,-0.013184808345319328
120.6482949256897,-0.006355236058529447,-0.013553291074134109,-0.011067862393619654,-0.0033118001562165707,-0.007588601714742342,-0.011444745490810992
120.751944065094,-0.006353958936863116,-0.013550501471648924,-0.011063787896969629,-0.0033118001562165707,-0.007588601714742342,-0.011444745490810992
120.85353589057922,-0.006348086522335817,-0.01353748945846891,-0.011045156899932627,-0.0033118001562165707,-0.007588601714742342,-0.011444745490810992
120.96543192863464,-0.006335792030560826,-0.013510151201966926,-0.011006309720702039,-0.0033118001562165707,-0.007588601714742342,-0.011444745490810992
121.06209588050842,-0.006314106317473229,-0.013461889799843335,-0.010938179025123803,-0.0033118001562165707,-0.007588601714742342,-0.011444745490810992
